district_code,district_name,category,student_group,2021_2022_student_count,2021_2022_attendance_rate,2020_2021_student_count,2020_2021_attendance_rate,2019_2020_student_count,2019_2020_attendance_rate,reporting_period,date_update
110011,bloomfield school district,free/reduced lunch,free/reduced price meal eligible,0.0018350274354592066,0.8071625344352618,0.0021951573498463993,0.788755821689954,0.002374367064951824,0.7590418036636919,Jun-22,2022-07-22
110011,bloomfield school district,english learners,english learners,0.00013392901762066103,0.8142463597009049,0.00015319739080654394,0.7824351297405197,0.00015343879955778152,0.7294504462188822,Jun-22,2022-07-22
110011,bloomfield school district,race/ethnicity,all other races,0.0001619141854816947,0.8118850846123573,0.00017133918708626625,0.8283433133732538,0.0001927820814956742,0.758102395490841,Jun-22,2022-07-22
110011,bloomfield school district,race/ethnicity,black or african american,0.002504672523562512,0.8634395907123178,0.00272731670738492,0.8466400532268796,0.002903534207016481,0.8013151714419919,Jun-22,2022-07-22
110011,bloomfield school district,race/ethnicity,hispanic/latino of any race,0.0005517075949746634,0.7733175914994095,0.0005079702958322247,0.7544910179640723,0.0005016268447081318,0.6899953029591366,Jun-22,2022-07-22
110011,bloomfield school district,race/ethnicity,white,8.795338470610576e-05,0.7878787878787881,0.00013303983938463027,0.8453093812375254,0.00015540596365467614,0.7050258337247532,Jun-22,2022-07-22
110011,bloomfield school district,high needs,students without high needs,0.001173378109601911,0.8949232585596221,0.0010885077767833384,0.9128409846972727,0.0011547253248771505,0.8238609675904183,Jun-22,2022-07-22
110011,bloomfield school district,high needs,students with high needs,0.002138866400807572,0.8134592680047223,0.0024168904154874497,0.79707252162342,0.0025986237719978125,0.7599812118365437,Jun-22,2022-07-22
120011,bolton school district,unknown,all students,0.0014492319070892425,0.8976780794962611,0.001513832111785717,0.8652694610778444,0.0015088148623181848,0.7604509159229691,Jun-22,2022-07-22
120011,bolton school district,students with disabilities,students with disabilities,0.00011993643369014423,0.7855175127902401,0.00016529192165969214,0.655023286759814,0.00017114327642983322,0.672616251761391,Jun-22,2022-07-22
120011,bolton school district,free/reduced lunch,free meal eligible,0.0002578633324338101,0.7406532861078317,0.0003164735573240447,0.5971390552228879,0.0003344178964720879,0.6918741193048383,Jun-22,2022-07-22
120011,bolton school district,free/reduced lunch,reduced price meal eligible,2.1988346176526444e-05,0.7937819756001572,5.2409633696975556e-05,0.723552894211577,4.3277610131681966e-05,0.6378581493658997,Jun-22,2022-07-22
120011,bolton school district,free/reduced lunch,free/reduced price meal eligible,0.0003198304898403846,0.7500983864620228,0.00036888319102102026,0.6151031270791756,0.00037769550660376983,0.6852982620948804,Jun-22,2022-07-22
120011,bolton school district,race/ethnicity,all other races,6.196715740657451e-05,0.8823297914207004,0.00010683502253614248,0.8080505655355958,9.63910407478371e-05,0.7313292625645849,Jun-22,2022-07-22
120011,bolton school district,race/ethnicity,black or african american,3.198304898403846e-05,0.8138528138528138,7.256718511888924e-05,0.6207584830339328,8.065372797268002e-05,0.7083137623297331,Jun-22,2022-07-22
120011,bolton school district,race/ethnicity,hispanic/latino of any race,0.00013792689874366583,0.778827233372688,0.00016529192165969214,0.7015968063872258,0.00017311044052672786,0.7388445279473936,Jun-22,2022-07-22
120011,bolton school district,race/ethnicity,white,0.0010974183682648196,0.9224714679260129,0.0011691379824709932,0.9085163007318697,0.0011586596530709398,0.7693752935650542,Jun-22,2022-07-22
120011,bolton school district,high needs,students without high needs,0.0009774819345746753,0.9500196772924041,0.0010219878570910234,0.955755156353959,0.0010229253303852101,0.7928604978863323,Jun-22,2022-07-22
120011,bolton school district,high needs,students with high needs,0.0004157796367925,0.781188508461236,0.00047571821355716276,0.6699933466400534,0.00048588953193297476,0.6918741193048383,Jun-22,2022-07-22
